No,Footnote,Divisions,Digitized Account,Recovered,Standard Title,Custom Title,Amount Y1,Amount Y2,Amount Y3,
1,,Major0,ส่วนของผู้ถือหุ้น,เงินปันผลผู้ถือหุ้น,N/A,เงินสดรับชำระคืนจากเงินจ่ายล่วงหน้าและเงินกู้ยืมแก่บุคคลอื่น,,,,
2,,Major0,ทุนเรือนหุ้น,กำไรก่อนภาษี,income before income taxes(cf),เงินสดรับชำระคืนจากเงินจ่ายล่วงหน้าและเงินกู้ยืมแก่บุคคลอื่น,,,,
3,,Major0,ทุนจดทะเบียน,รับดอกเบี้ย,interest income(cf),เงินสดรับชำระคืนจากเงินจ่ายล่วงหน้าและเงินกู้ยืมแก่บุคคลอื่น,,,,
4,,Major0,"หุ้นสามัญ 441,453,555 หุ้น มูลค่าหุ้นละ 1 บาท",เงินสดจากสินค้าคงเหลือ (เพิ่มขึ้น) ลดลง,decrease (increase) in inventories,เงินสดรับชำระคืนจากเงินจ่ายล่วงหน้าและเงินกู้ยืมแก่บุคคลอื่น,"441,454","441,454",,
5,,Major0,ทุนออกจำหน่ายและชำระเต็มมูลค่าแล้ว,ค่าตัดจำหน่ายลูกกลิ้ง,depreciation and amortization,เงินสดรับชำระคืนจากเงินจ่ายล่วงหน้าและเงินกู้ยืมแก่บุคคลอื่น,,,,
6,,Major0,"หุ้นสามัญ 441,453,555 หุ้น มูลค่าหุ้นละ 1 บาท",เงินสดจากสินค้าคงเหลือ (เพิ่มขึ้น) ลดลง,decrease (increase) in inventories,เงินสดรับชำระคืนจากเงินจ่ายล่วงหน้าและเงินกู้ยืมแก่บุคคลอื่น,"441,454","441,454",,
7,,Major0,ส่วนเกินมูลค่าหุ้นสามัญ,เงินปันผลรับ,interest and dividends income received,เงินสดรับชำระคืนจากเงินจ่ายล่วงหน้าและเงินกู้ยืมแก่บุคคลอื่น,"986,742","986,742",,
8,,Major0,ผลต่างจากการเปลี่ยนแปลงสัดส่วนการถือหุ้นในบริษัทย่อย,การเปลี่ยนแปลงในสินทรัพย์และหนี้สินดำเนินงาน,changes in working capital,เงินสดรับชำระคืนจากเงินจ่ายล่วงหน้าและเงินกู้ยืมแก่บุคคลอื่น,"9,155","9,155",,
9,,Major0,กำไรสะสม,อื่นๆ,foreign exchange losses (gains),เงินสดรับชำระคืนจากเงินจ่ายล่วงหน้าและเงินกู้ยืมแก่บุคคลอื่น,,,,
10,,Major0,จัดสรรแล้ว - สำรองตามกฎหมาย,ดอกเบี้ยจ่าย,interest expenses paid,เงินสดรับชำระคืนจากเงินจ่ายล่วงหน้าและเงินกู้ยืมแก่บุคคลอื่น,"44,150","44,150",,
11,,Major0,ยังไม่ได้จัดสรร,รายได้ปันผล,interest and dividends income,เงินสดรับชำระคืนจากเงินจ่ายล่วงหน้าและเงินกู้ยืมแก่บุคคลอื่น,"410,283","350,555",,
12,,Major0,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,เงินปันผลผู้ถือหุ้น,foreign exchange losses (gains),เงินสดรับชำระคืนจากเงินจ่ายล่วงหน้าและเงินกู้ยืมแก่บุคคลอื่น,,252,,
13,,Major0,ส่วนของผู้ดึอหุ้นของบริษัทฯ,เงินปันผลผู้ถือหุ้น,foreign exchange losses (gains),เงินสดรับชำระคืนจากเงินจ่ายล่วงหน้าและเงินกู้ยืมแก่บุคคลอื่น,"1,891,784","1,832,308",,
14,,Major0,ส่วนของผู้มีส่วนได้เสียที่ไม่มีอำนาจควบคุมของบริษัทย่อย,ลูกหนี้อื่นกิจการที่เกี่ยวข้องกัน,decrease (increase) in notes receivable-trade,เงินสดรับชำระคืนจากเงินจ่ายล่วงหน้าและเงินกู้ยืมแก่บุคคลอื่น,"25,055","24,849",,
15,,Major0,รวมส่วนของผู้ดึอหุ้น,เงินปันผลผู้ถือหุ้น,foreign exchange losses (gains),เงินสดรับชำระคืนจากเงินจ่ายล่วงหน้าและเงินกู้ยืมแก่บุคคลอื่น,"1,916,839","1,857,157",,
16,,Major0,รวมหนี้สินและส่วนของผู้ดึอหุ้น,เงินปันผลผู้ถือหุ้น,foreign exchange losses (gains),เงินสดรับชำระคืนจากเงินจ่ายล่วงหน้าและเงินกู้ยืมแก่บุคคลอื่น,"3,650,511","3,670,060",,

